,arima_base_case,arima-garch_base_case,arima-sgarch_snorm_1000,arima-sgarch_sstd_1000,arima-sgarch_sged_1000,arima_base_case_forecast,arima-garch_base_case_forecast,buy_n_hold,buy_n_hold_forecast,arima-sgarch_snorm_1000_forecast,arima-sgarch_sstd_1000_forecast,arima-sgarch_sged_1000_forecast
2018-07-30,0.66891467088525,1.721760010798045,1.648369366664643,4.454369498018028,4.729337285081137,0.0010984723038892637,0.001670112105815415,2.180091714444549,-0.005754170294581917,0.0015763896473301325,0.001868135994075626,0.0003705082289705232
2018-07-31,0.6721821376415162,1.730170341506005,1.6564212039797022,4.476127884981852,4.752438815112945,0.0005134038647627817,0.0011486242516161402,2.1907408712243392,0.004884728797982518,0.0011299013407339246,0.0011299013407339246,0.0011299013407339246
2018-08-01,0.6728814433543592,1.7283703561504709,1.6546979436519562,4.471471138504825,4.757383022087867,-0.000777292228263143,0.000529777270004753,2.1884617306152467,-0.0010403515262938923,0.0004878866973595606,0.001162523272026172,-0.0008536405512772217
2018-08-02,0.6695665300644541,1.7368850773098472,1.6465461655662856,4.493499594258583,4.780820006954728,-0.0010666961751357581,0.0008189163910462044,2.199243066535436,0.004926444803381669,-0.0006015688410034876,0.001410900488398359,0.000699774284956448
2018-08-03,0.6726761195673618,1.7288186651436956,1.654193027293387,4.514368228729128,4.758617003905148,0.0009649621043842833,-0.00038282395974247214,2.2094567538196297,0.004644183009877123,0.00044504677692131027,0.0011149421188043395,-0.0003812638377429069
2018-08-06,0.6750562006796077,1.7349356188034346,1.6600459384726955,4.530341090322359,4.775454073219711,0.0007881197721438084,0.00121656900465642,2.2172743143589755,0.003538227451535869,0.0008449781597307214,0.00034397176376979035,0.00028518155727032745
2018-08-07,0.6731497189355089,1.739835393194227,1.6553576661882883,,4.788940825880022,-8.221306960465768e-06,0.0002651570265279492,2.2235363011353786,0.0028241822564987196,-0.00015879268344642282,,0.0005386915155240788
2018-08-08,0.6733263399356404,1.7402918911449297,1.6549233335006959,4.529152419582699,4.78768430375063,-0.001598314995089443,-0.00038020807542817325,2.2229528897570656,-0.0002623799656497061,0.000770827672366957,0.000770827672366957,0.000770827672366957
2018-08-09,0.6742970573262167,1.7377829567646483,1.6525374727900435,4.522622856193451,4.794586585955547,-0.0007268441271538647,0.0009724104792428411,2.2197481153400638,-0.0014416744645237012,0.0009716892969858651,0.0009716892969858651,-5.916071543745916e-05
2018-08-10,0.6695001836399603,1.7254205635921442,1.6407815064356712,4.490449424119224,4.760478434391241,0.0006559939106748156,0.0013378457581395596,2.2039570760512173,-0.007113887913551609,0.0010349525510778826,0.0005073280829787667,0.001091642544400194
2018-08-13,0.6668181711362133,1.7185085422979651,1.6342085485430355,4.472460718817527,4.741407994984579,0.0008067734255496136,0.000918896694504977,2.195128041227726,-0.004005992185342366,0.001104311587805539,0.002423630597096948,0.0010204898040422103
2018-08-14,0.6625576999507063,1.7294885312116335,1.6446499233188807,4.501036409831415,4.711113931301605,-0.0007485148047048601,0.0011610986031381294,2.2091532735518746,0.006389254777276809,0.001761408563339676,0.0006905079128352146,-7.57067765021803e-05
2018-08-15,0.6675945727989325,1.7163406743158094,,4.466818789112128,4.675299266635814,-0.0012211552366362063,0.00025082303063800934,2.1923589262188785,-0.007602164835758152,,0.0003828442056439101,0.0014464178608650168
2018-08-16,0.672881526923018,1.729933077214421,1.657674577875781,4.5021933517297175,4.712324871315975,0.00010592427014410335,0.0012368122749405548,2.2097211121004277,0.007919408484583057,0.0010355358596016323,0.0010355358596016323,0.0010355358596016323
2018-08-17,0.6751175901043298,1.7356818450217073,1.6631832223278507,4.517154661241342,,0.0018252881762715711,7.17067740353163e-05,2.2170642710697783,0.0033231157222237684,5.138089757623053e-05,0.0005590369181847598,
2018-08-20,0.6734783925955551,1.7314675786507994,1.667221460754218,4.52812239304983,4.723766479863612,-0.0003546476905504471,-3.684733698404354e-05,2.222447342527551,0.0024280177746833775,0.0002601670738663587,0.0002601670738663587,0.0002601670738663587
2018-08-21,0.672085278005408,1.7278859748863655,1.6706701690832733,4.537488979181002,4.733537762915744,-0.000737659975764023,-0.0011813320571849723,2.2270445558201355,0.0020685364303643095,0.001002057697169839,0.0005175890369614258,0.0005175890369614258
2018-08-22,0.6723528699489623,1.7271980140257552,1.6700049887970603,4.535682369909037,4.731653096473376,-0.001251677336927748,0.0009012689322160121,2.2261578540866256,-0.0003981517707819515,0.00014131417029475234,0.0008998215946305474,0.0004361673944028631
2018-08-23,0.6712157450052783,1.7242768694419903,1.6671805726106876,4.528011342105076,4.723650630801937,0.0007711966482279807,0.0008489298726753415,2.222392837623392,-0.0016912621251551352,0.0004004415195631387,0.00025952133116022335,0.0005931421468020711
