[2024-06-01T19:58:04] Estimation window: 2003-08-08 - 2007-07-30, Best order: (4, 0, 2)-(1, 1), AIC: -7.1414934615286, Final model converged
[2024-06-01T19:59:09] Estimation window: 2003-08-11 - 2007-07-31, Best order: (5, 0, 4)-(1, 1), AIC: -7.13306340494787, Final model converged
[2024-06-01T20:00:20] Estimation window: 2003-08-12 - 2007-08-01, Best order: (4, 0, 5)-(1, 1), AIC: -7.15725317273967, Final model converged
[2024-06-01T20:02:51] Estimation window: 2003-08-13 - 2007-08-02, Best order: (5, 0, 5)-(1, 1), AIC: -7.17043289302075, Final model FAILED to converge
[2024-06-01T20:04:38] Estimation window: 2003-08-14 - 2007-08-03, Best order: (5, 0, 5)-(1, 1), AIC: -7.14566639899864, Final model converged
[2024-06-01T20:05:39] Estimation window: 2003-08-15 - 2007-08-06, Best order: (4, 0, 4)-(1, 1), AIC: -7.14634080366704, Final model converged
[2024-06-01T20:07:24] Estimation window: 2003-08-18 - 2007-08-07, Best order: (5, 0, 5)-(1, 1), AIC: -7.14976247035943, Final model FAILED to converge
[2024-06-01T20:08:37] Estimation window: 2003-08-19 - 2007-08-08, Best order: (5, 0, 5)-(1, 1), AIC: -7.15573624255513, Final model FAILED to converge
[2024-06-01T20:09:59] Estimation window: 2003-08-20 - 2007-08-09, Best order: (5, 0, 3)-(1, 1), AIC: -7.11403085870788, Final model converged
[2024-06-01T20:12:00] Estimation window: 2003-08-21 - 2007-08-10, Best order: (4, 0, 2)-(1, 1), AIC: -7.11369550794926, Final model converged
[2024-06-01T20:16:02] Estimation window: 2003-08-22 - 2007-08-13, Best order: (4, 0, 2)-(1, 1), AIC: -7.11160003699117, Final model converged
[2024-06-01T20:17:53] Estimation window: 2003-08-25 - 2007-08-14, Best order: (5, 0, 5)-(1, 1), AIC: -7.12004797316426, Final model FAILED to converge
[2024-06-01T20:20:37] Estimation window: 2003-08-26 - 2007-08-15, Best order: (4, 0, 3)-(1, 1), AIC: -7.1121926428393, Final model converged
[2024-06-01T20:21:43] Estimation window: 2003-08-27 - 2007-08-16, Best order: (3, 0, 4)-(1, 1), AIC: -7.16420100832478, Final model converged
[2024-06-01T20:22:48] Estimation window: 2003-08-28 - 2007-08-17, Best order: (4, 0, 5)-(1, 1), AIC: -7.13694663185382, Final model converged
[2024-06-01T20:24:29] Estimation window: 2003-08-29 - 2007-08-20, Best order: (5, 0, 5)-(1, 1), AIC: -7.11459814494899, Final model converged
[2024-06-01T20:26:15] Estimation window: 2003-09-02 - 2007-08-21, Best order: (5, 0, 5)-(1, 1), AIC: -7.10489218022967, Final model converged
