[2024-05-31T23:01:13] Estimation window: 2002-03-27 - 2006-03-15, Best order: (5, 0, 4), AIC: -6246.82, Final model converged
[2024-05-31T23:01:39] Estimation window: 2002-03-28 - 2006-03-16, Best order: (5, 0, 4), AIC: -6246.9, Final model converged
[2024-05-31T23:02:06] Estimation window: 2002-04-01 - 2006-03-17, Best order: (5, 0, 5), AIC: -6247.17, Final model converged
[2024-05-31T23:02:31] Estimation window: 2002-04-02 - 2006-03-20, Best order: (4, 0, 5), AIC: -6246.47, Final model converged
[2024-05-31T23:02:56] Estimation window: 2002-04-03 - 2006-03-21, Best order: (5, 0, 5), AIC: -6247.17, Final model converged
[2024-05-31T23:03:19] Estimation window: 2002-04-04 - 2006-03-22, Best order: (5, 0, 5), AIC: -6246.82, Final model converged
[2024-05-31T23:03:45] Estimation window: 2002-04-05 - 2006-03-23, Best order: (5, 0, 5), AIC: -6247.36, Final model converged
[2024-05-31T23:04:11] Estimation window: 2002-04-08 - 2006-03-24, Best order: (5, 0, 4), AIC: -6246.92, Final model converged
[2024-05-31T23:04:37] Estimation window: 2002-04-09 - 2006-03-27, Best order: (5, 0, 5), AIC: -6247, Final model converged
[2024-05-31T23:04:56] Estimation window: 2002-04-10 - 2006-03-28, Best order: (5, 0, 4), AIC: -6242.43, Final model converged
[2024-05-31T23:05:20] Estimation window: 2002-04-11 - 2006-03-29, Best order: (5, 0, 5), AIC: -6246.98, Final model converged
[2024-05-31T23:05:44] Estimation window: 2002-04-12 - 2006-03-30, Best order: (5, 0, 5), AIC: -6253.17, Final model converged
[2024-05-31T23:06:09] Estimation window: 2002-04-15 - 2006-03-31, Best order: (5, 0, 5), AIC: -6253.22, Final model converged
[2024-05-31T23:06:34] Estimation window: 2002-04-16 - 2006-04-03, Best order: (5, 0, 5), AIC: -6253.57, Final model converged
[2024-05-31T23:07:00] Estimation window: 2002-04-17 - 2006-04-04, Best order: (5, 0, 4), AIC: -6257.94, Final model converged
[2024-05-31T23:07:22] Estimation window: 2002-04-18 - 2006-04-05, Best order: (5, 0, 5), AIC: -6257.09, Final model converged
[2024-05-31T23:07:48] Estimation window: 2002-04-19 - 2006-04-06, Best order: (5, 0, 4), AIC: -6257.48, Final model converged
[2024-05-31T23:08:21] Estimation window: 2002-04-22 - 2006-04-07, Best order: (5, 0, 5), AIC: -6256.49, Final model converged
[2024-05-31T23:08:51] Estimation window: 2002-04-23 - 2006-04-10, Best order: (5, 0, 5), AIC: -6258.11, Final model converged
[2024-05-31T23:09:18] Estimation window: 2002-04-24 - 2006-04-11, Best order: (5, 0, 5), AIC: -6257.9, Final model converged
[2024-05-31T23:09:45] Estimation window: 2002-04-25 - 2006-04-12, Best order: (5, 0, 4), AIC: -6257.2, Final model converged
[2024-05-31T23:10:14] Estimation window: 2002-04-26 - 2006-04-13, Best order: (5, 0, 5), AIC: -6260.62, Final model converged
[2024-05-31T23:10:43] Estimation window: 2002-04-29 - 2006-04-17, Best order: (5, 0, 5), AIC: -6260.58, Final model converged
[2024-05-31T23:11:12] Estimation window: 2002-04-30 - 2006-04-18, Best order: (5, 0, 5), AIC: -6259.05, Final model converged
[2024-05-31T23:11:38] Estimation window: 2002-05-01 - 2006-04-19, Best order: (5, 0, 5), AIC: -6259.64, Final model converged
[2024-05-31T23:12:03] Estimation window: 2002-05-02 - 2006-04-20, Best order: (5, 0, 5), AIC: -6259.82, Final model converged
[2024-05-31T23:12:27] Estimation window: 2002-05-03 - 2006-04-21, Best order: (5, 0, 5), AIC: -6262.67, Final model converged
[2024-05-31T23:12:51] Estimation window: 2002-05-06 - 2006-04-24, Best order: (5, 0, 5), AIC: -6261.87, Final model converged
[2024-05-31T23:13:17] Estimation window: 2002-05-07 - 2006-04-25, Best order: (5, 0, 5), AIC: -6265.4, Final model converged
[2024-05-31T23:13:43] Estimation window: 2002-05-08 - 2006-04-26, Best order: (5, 0, 5), AIC: -6265.41, Final model converged
[2024-05-31T23:14:10] Estimation window: 2002-05-09 - 2006-04-27, Best order: (5, 0, 4), AIC: -6274.85, Final model converged
