[2024-05-31T23:03:22] Estimation window: 2006-06-16 - 2010-06-07, Best order: (2, 0, 5), AIC: -5350.03, Final model converged
[2024-05-31T23:03:41] Estimation window: 2006-06-19 - 2010-06-08, Best order: (2, 0, 5), AIC: -5348.16, Final model converged
[2024-05-31T23:03:59] Estimation window: 2006-06-20 - 2010-06-09, Best order: (2, 0, 5), AIC: -5349.53, Final model converged
[2024-05-31T23:04:20] Estimation window: 2006-06-21 - 2010-06-10, Best order: (2, 0, 5), AIC: -5345.75, Final model converged
[2024-05-31T23:04:40] Estimation window: 2006-06-22 - 2010-06-11, Best order: (5, 0, 3), AIC: -5342.97, Final model converged
[2024-05-31T23:04:58] Estimation window: 2006-06-23 - 2010-06-14, Best order: (5, 0, 3), AIC: -5342.89, Final model converged
[2024-05-31T23:05:17] Estimation window: 2006-06-26 - 2010-06-15, Best order: (5, 0, 3), AIC: -5341.35, Final model converged
[2024-05-31T23:05:39] Estimation window: 2006-06-27 - 2010-06-16, Best order: (2, 0, 5), AIC: -5344.42, Final model converged
[2024-05-31T23:05:58] Estimation window: 2006-06-28 - 2010-06-17, Best order: (5, 0, 5), AIC: -5342.04, Final model converged
[2024-05-31T23:06:20] Estimation window: 2006-06-29 - 2010-06-18, Best order: (2, 0, 5), AIC: -5345.23, Final model converged
[2024-05-31T23:06:40] Estimation window: 2006-06-30 - 2010-06-21, Best order: (2, 0, 5), AIC: -5346.47, Final model converged
[2024-05-31T23:07:01] Estimation window: 2006-07-03 - 2010-06-22, Best order: (2, 0, 5), AIC: -5345.24, Final model converged
[2024-05-31T23:07:20] Estimation window: 2006-07-05 - 2010-06-23, Best order: (5, 0, 3), AIC: -5342.27, Final model converged
[2024-05-31T23:07:45] Estimation window: 2006-07-06 - 2010-06-24, Best order: (5, 0, 2), AIC: -5346.09, Final model converged
[2024-05-31T23:08:14] Estimation window: 2006-07-07 - 2010-06-25, Best order: (5, 0, 2), AIC: -5346.06, Final model converged
[2024-05-31T23:08:37] Estimation window: 2006-07-10 - 2010-06-28, Best order: (5, 0, 2), AIC: -5345.85, Final model converged
[2024-05-31T23:08:59] Estimation window: 2006-07-11 - 2010-06-29, Best order: (2, 0, 5), AIC: -5341.05, Final model converged
[2024-05-31T23:09:21] Estimation window: 2006-07-12 - 2010-06-30, Best order: (5, 0, 2), AIC: -5342.26, Final model converged
[2024-05-31T23:09:42] Estimation window: 2006-07-13 - 2010-07-01, Best order: (2, 0, 5), AIC: -5340.66, Final model converged
[2024-05-31T23:10:04] Estimation window: 2006-07-14 - 2010-07-02, Best order: (2, 0, 5), AIC: -5341.11, Final model converged
[2024-05-31T23:10:25] Estimation window: 2006-07-17 - 2010-07-06, Best order: (2, 0, 5), AIC: -5341.74, Final model converged
[2024-05-31T23:10:49] Estimation window: 2006-07-18 - 2010-07-07, Best order: (5, 0, 2), AIC: -5340.16, Final model converged
[2024-05-31T23:11:12] Estimation window: 2006-07-19 - 2010-07-08, Best order: (5, 0, 2), AIC: -5339.12, Final model converged
[2024-05-31T23:11:31] Estimation window: 2006-07-20 - 2010-07-09, Best order: (5, 0, 2), AIC: -5339.4, Final model converged
[2024-05-31T23:11:52] Estimation window: 2006-07-21 - 2010-07-12, Best order: (5, 0, 2), AIC: -5339.48, Final model converged
[2024-05-31T23:12:14] Estimation window: 2006-07-24 - 2010-07-13, Best order: (5, 0, 2), AIC: -5338.84, Final model converged
