[2024-06-02T04:38:50] Estimation window: 2003-05-28 - 2007-05-16, Best order: (5, 0, 4)-(1, 1), AIC: -7.12102274200746, Final model FAILED to converge
[2024-06-02T04:45:36] Estimation window: 2003-06-17 - 2007-06-06, Best order: (3, 0, 3)-(1, 1), AIC: -7.16534597385906, Final model converged
[2024-06-02T04:46:00] Estimation window: 2003-06-18 - 2007-06-07, Best order: (3, 0, 3)-(1, 1), AIC: -7.16215493571682, Final model converged
[2024-06-02T04:46:23] Estimation window: 2003-06-19 - 2007-06-08, Best order: (4, 0, 4)-(1, 1), AIC: -7.13049513602243, Final model converged
[2024-06-02T04:46:46] Estimation window: 2003-06-20 - 2007-06-11, Best order: (5, 0, 2)-(1, 1), AIC: -7.12756070572571, Final model converged
[2024-06-02T04:47:21] Estimation window: 2003-06-23 - 2007-06-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.11656930792701, Final model converged
[2024-06-02T04:47:43] Estimation window: 2003-06-24 - 2007-06-13, Best order: (4, 0, 3)-(1, 1), AIC: -7.12044430127925, Final model FAILED to converge
[2024-06-02T04:48:07] Estimation window: 2003-06-25 - 2007-06-14, Best order: (4, 0, 4)-(1, 1), AIC: -7.14207543329388, Final model converged
[2024-06-02T04:48:30] Estimation window: 2003-06-26 - 2007-06-15, Best order: (4, 0, 4)-(1, 1), AIC: -7.15845690436956, Final model converged
[2024-06-02T04:48:52] Estimation window: 2003-06-27 - 2007-06-18, Best order: (4, 0, 3)-(1, 1), AIC: -7.13136313848224, Final model converged
[2024-06-02T04:49:15] Estimation window: 2003-06-30 - 2007-06-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.15759381248966, Final model converged
[2024-06-02T04:49:38] Estimation window: 2003-07-01 - 2007-06-20, Best order: (4, 0, 5)-(1, 1), AIC: -7.12151317943262, Final model converged
[2024-06-02T04:50:01] Estimation window: 2003-07-02 - 2007-06-21, Best order: (3, 0, 3)-(1, 1), AIC: -7.13378826596468, Final model converged
[2024-06-02T04:50:37] Estimation window: 2003-07-03 - 2007-06-22, Best order: (5, 0, 3)-(1, 1), AIC: -7.17271979772008, Final model converged
[2024-06-02T04:51:12] Estimation window: 2003-07-07 - 2007-06-25, Best order: (5, 0, 5)-(1, 1), AIC: -7.15295566407149, Final model converged
[2024-06-02T04:51:35] Estimation window: 2003-07-08 - 2007-06-26, Best order: (5, 0, 5)-(1, 1), AIC: -7.15603252044809, Final model converged
[2024-06-02T04:51:57] Estimation window: 2003-07-09 - 2007-06-27, Best order: (5, 0, 2)-(1, 1), AIC: -7.13040546236215, Final model converged
[2024-06-02T04:52:32] Estimation window: 2003-07-10 - 2007-06-28, Best order: (3, 0, 3)-(1, 1), AIC: -7.15389352228122, Final model FAILED to converge
[2024-06-02T04:53:13] Estimation window: 2003-07-11 - 2007-06-29, Best order: (5, 0, 3)-(1, 1), AIC: -7.14653976455643, Final model converged
[2024-06-02T04:53:35] Estimation window: 2003-07-14 - 2007-07-02, Best order: (4, 0, 3)-(1, 1), AIC: -7.13994026337576, Final model converged
[2024-06-02T04:54:25] Estimation window: 2003-07-15 - 2007-07-03, Best order: (3, 0, 5)-(1, 1), AIC: 377.100408324452, Final model FAILED to converge
[2024-06-02T04:54:47] Estimation window: 2003-07-16 - 2007-07-05, Best order: (2, 0, 3)-(1, 1), AIC: -7.13631645020479, Final model converged
[2024-06-02T04:55:11] Estimation window: 2003-07-17 - 2007-07-06, Best order: (3, 0, 4)-(1, 1), AIC: -7.13555027256109, Final model converged
[2024-06-02T04:55:34] Estimation window: 2003-07-18 - 2007-07-09, Best order: (5, 0, 5)-(1, 1), AIC: -7.14781298057368, Final model converged
[2024-06-02T04:56:12] Estimation window: 2003-07-21 - 2007-07-10, Best order: (2, 0, 3)-(1, 1), AIC: -7.13985485323151, Final model converged
[2024-06-02T04:56:36] Estimation window: 2003-07-22 - 2007-07-11, Best order: (4, 0, 3)-(1, 1), AIC: -7.13926285251649, Final model converged
[2024-06-02T04:57:00] Estimation window: 2003-07-23 - 2007-07-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.14785207860653, Final model converged
[2024-06-02T04:57:23] Estimation window: 2003-07-24 - 2007-07-13, Best order: (5, 0, 5)-(1, 1), AIC: -7.13559507162818, Final model converged
[2024-06-02T04:57:44] Estimation window: 2003-07-25 - 2007-07-16, Best order: (1, 0, 1)-(1, 1), AIC: -7.14291682495331, Final model converged
[2024-06-02T04:58:07] Estimation window: 2003-07-28 - 2007-07-17, Best order: (5, 0, 5)-(1, 1), AIC: -7.14166165508594, Final model converged
[2024-06-02T04:58:30] Estimation window: 2003-07-29 - 2007-07-18, Best order: (4, 0, 4)-(1, 1), AIC: -7.16849633739656, Final model converged
[2024-06-02T04:58:52] Estimation window: 2003-07-30 - 2007-07-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.13505656028214, Final model FAILED to converge
[2024-06-02T04:59:13] Estimation window: 2003-07-31 - 2007-07-20, Best order: (1, 0, 1)-(1, 1), AIC: -7.1467073276976, Final model converged
[2024-06-02T04:59:41] Estimation window: 2003-08-01 - 2007-07-23, Best order: (5, 0, 5)-(1, 1), AIC: -7.17550906572987, Final model converged
[2024-06-02T05:00:04] Estimation window: 2003-08-04 - 2007-07-24, Best order: (4, 0, 4)-(1, 1), AIC: -7.12996926760556, Final model converged
[2024-06-02T05:00:36] Estimation window: 2003-08-05 - 2007-07-25, Best order: (4, 0, 4)-(1, 1), AIC: -7.15116999793764, Final model converged
[2024-06-02T05:00:59] Estimation window: 2003-08-06 - 2007-07-26, Best order: (5, 0, 5)-(1, 1), AIC: -7.14597088317234, Final model converged
[2024-06-02T05:01:22] Estimation window: 2003-08-07 - 2007-07-27, Best order: (2, 0, 2)-(1, 1), AIC: -7.16217710472192, Final model FAILED to converge
[2024-06-02T05:01:45] Estimation window: 2003-08-08 - 2007-07-30, Best order: (3, 0, 3)-(1, 1), AIC: -7.14596515305954, Final model converged
[2024-06-02T05:02:20] Estimation window: 2003-08-11 - 2007-07-31, Best order: (5, 0, 4)-(1, 1), AIC: -7.13305949031104, Final model converged
[2024-06-02T05:02:43] Estimation window: 2003-08-12 - 2007-08-01, Best order: (4, 0, 4)-(1, 1), AIC: -7.112311839032, Final model converged
[2024-06-02T05:03:17] Estimation window: 2003-08-13 - 2007-08-02, Best order: (4, 0, 4)-(1, 1), AIC: -7.14679967223113, Final model converged
[2024-06-02T05:03:40] Estimation window: 2003-08-14 - 2007-08-03, Best order: (5, 0, 5)-(1, 1), AIC: -7.15465981629753, Final model converged
[2024-06-02T05:04:02] Estimation window: 2003-08-15 - 2007-08-06, Best order: (1, 0, 1)-(1, 1), AIC: -7.12941131920915, Final model converged
[2024-06-02T05:04:24] Estimation window: 2003-08-18 - 2007-08-07, Best order: (5, 0, 4)-(1, 1), AIC: -7.1194371884591, Final model converged
[2024-06-02T05:04:46] Estimation window: 2003-08-19 - 2007-08-08, Best order: (1, 0, 1)-(1, 1), AIC: -7.12756419200888, Final model converged
[2024-06-02T05:05:09] Estimation window: 2003-08-20 - 2007-08-09, Best order: (5, 0, 5)-(1, 1), AIC: -7.1072287999506, Final model FAILED to converge
[2024-06-02T05:05:31] Estimation window: 2003-08-21 - 2007-08-10, Best order: (5, 0, 5)-(1, 1), AIC: -7.12821744372147, Final model converged
[2024-06-02T05:05:55] Estimation window: 2003-08-22 - 2007-08-13, Best order: (5, 0, 5)-(1, 1), AIC: -7.11953375615523, Final model converged
[2024-06-02T05:06:33] Estimation window: 2003-08-25 - 2007-08-14, Best order: (5, 0, 4)-(1, 1), AIC: -7.1600454031952, Final model FAILED to converge
[2024-06-02T05:07:18] Estimation window: 2003-08-26 - 2007-08-15, Best order: (5, 0, 5)-(1, 1), AIC: -7.11906207731817, Final model FAILED to converge
[2024-06-02T05:07:56] Estimation window: 2003-08-27 - 2007-08-16, Best order: (4, 0, 5)-(1, 1), AIC: -7.13041172728133, Final model converged
[2024-06-02T05:08:19] Estimation window: 2003-08-28 - 2007-08-17, Best order: (5, 0, 5)-(1, 1), AIC: -7.13108885090911, Final model converged
[2024-06-02T05:08:47] Estimation window: 2003-08-29 - 2007-08-20, Best order: (5, 0, 5)-(1, 1), AIC: -7.13619483147019, Final model converged
[2024-06-02T05:09:24] Estimation window: 2003-09-02 - 2007-08-21, Best order: (3, 0, 4)-(1, 1), AIC: -7.10227096937328, Final model converged
[2024-06-02T05:09:46] Estimation window: 2003-09-03 - 2007-08-22, Best order: (5, 0, 5)-(1, 1), AIC: -7.12505108399502, Final model converged
[2024-06-02T05:10:08] Estimation window: 2003-09-04 - 2007-08-23, Best order: (1, 0, 1)-(1, 1), AIC: -7.10753616603805, Final model converged
[2024-06-02T05:10:32] Estimation window: 2003-09-05 - 2007-08-24, Best order: (5, 0, 4)-(1, 1), AIC: -7.09891475515815, Final model converged
[2024-06-02T05:10:54] Estimation window: 2003-09-08 - 2007-08-27, Best order: (5, 0, 5)-(1, 1), AIC: -7.11091467401054, Final model converged
[2024-06-02T05:11:21] Estimation window: 2003-09-09 - 2007-08-28, Best order: (4, 0, 5)-(1, 1), AIC: -7.10110384186274, Final model converged
[2024-06-02T05:11:45] Estimation window: 2003-09-10 - 2007-08-29, Best order: (4, 0, 4)-(1, 1), AIC: -7.1084400473159, Final model converged
[2024-06-02T05:12:08] Estimation window: 2003-09-11 - 2007-08-30, Best order: (4, 0, 4)-(1, 1), AIC: -7.11016011758812, Final model FAILED to converge
[2024-06-02T05:12:36] Estimation window: 2003-09-12 - 2007-08-31, Best order: (5, 0, 5)-(1, 1), AIC: -7.09398187336567, Final model converged
[2024-06-02T05:12:59] Estimation window: 2003-09-15 - 2007-09-04, Best order: (4, 0, 2)-(1, 1), AIC: -7.11070444846717, Final model converged
[2024-06-02T05:13:22] Estimation window: 2003-09-16 - 2007-09-05, Best order: (5, 0, 4)-(1, 1), AIC: -7.08417945222783, Final model converged
[2024-06-02T05:13:45] Estimation window: 2003-09-17 - 2007-09-06, Best order: (4, 0, 4)-(1, 1), AIC: -7.08858437412002, Final model converged
[2024-06-02T05:14:08] Estimation window: 2003-09-18 - 2007-09-07, Best order: (5, 0, 5)-(1, 1), AIC: -7.1161205582959, Final model converged
[2024-06-02T05:14:31] Estimation window: 2003-09-19 - 2007-09-10, Best order: (5, 0, 5)-(1, 1), AIC: -7.13865043782735, Final model converged
[2024-06-02T05:14:53] Estimation window: 2003-09-22 - 2007-09-11, Best order: (5, 0, 5)-(1, 1), AIC: -7.08819387132483, Final model converged
[2024-06-02T05:15:16] Estimation window: 2003-09-23 - 2007-09-12, Best order: (5, 0, 5)-(1, 1), AIC: -7.08656446732543, Final model converged
[2024-06-02T05:15:39] Estimation window: 2003-09-24 - 2007-09-13, Best order: (5, 0, 5)-(1, 1), AIC: -7.11392714813951, Final model converged
[2024-06-02T05:16:14] Estimation window: 2003-09-25 - 2007-09-14, Best order: (4, 0, 4)-(1, 1), AIC: -7.09646501594816, Final model converged
[2024-06-02T05:16:37] Estimation window: 2003-09-26 - 2007-09-17, Best order: (4, 0, 4)-(1, 1), AIC: -7.1066504475997, Final model converged
[2024-06-02T05:17:00] Estimation window: 2003-09-29 - 2007-09-18, Best order: (2, 0, 5)-(1, 1), AIC: -7.10596723475798, Final model converged
[2024-06-02T05:17:21] Estimation window: 2003-09-30 - 2007-09-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.08943155798226, Final model converged
[2024-06-02T05:17:43] Estimation window: 2003-10-01 - 2007-09-20, Best order: (5, 0, 5)-(1, 1), AIC: -7.08464140195648, Final model converged
[2024-06-02T05:18:08] Estimation window: 2003-10-02 - 2007-09-21, Best order: (1, 0, 5)-(1, 1), AIC: -7.1100021098532, Final model converged
[2024-06-02T05:18:30] Estimation window: 2003-10-03 - 2007-09-24, Best order: (5, 0, 5)-(1, 1), AIC: -7.12221308709717, Final model converged
[2024-06-02T05:18:54] Estimation window: 2003-10-06 - 2007-09-25, Best order: (5, 0, 5)-(1, 1), AIC: -7.1020949420324, Final model converged
[2024-06-02T05:19:25] Estimation window: 2003-10-07 - 2007-09-26, Best order: (5, 0, 3)-(1, 1), AIC: -7.11561215465122, Final model FAILED to converge
[2024-06-02T05:19:47] Estimation window: 2003-10-08 - 2007-09-27, Best order: (5, 0, 3)-(1, 1), AIC: -7.12754874207976, Final model converged
[2024-06-02T05:20:10] Estimation window: 2003-10-09 - 2007-09-28, Best order: (4, 0, 4)-(1, 1), AIC: -7.0972259177037, Final model FAILED to converge
[2024-06-02T05:20:45] Estimation window: 2003-10-10 - 2007-10-01, Best order: (3, 0, 5)-(1, 1), AIC: -7.11299987496276, Final model converged
[2024-06-02T05:21:07] Estimation window: 2003-10-13 - 2007-10-02, Best order: (5, 0, 3)-(1, 1), AIC: -7.09251020014791, Final model converged
[2024-06-02T05:21:55] Estimation window: 2003-10-14 - 2007-10-03, Best order: (5, 0, 3)-(1, 1), AIC: -7.09471658001719, Final model converged
[2024-06-02T05:22:19] Estimation window: 2003-10-15 - 2007-10-04, Best order: (3, 0, 5)-(1, 1), AIC: -7.09278512727459, Final model converged
[2024-06-02T05:22:42] Estimation window: 2003-10-16 - 2007-10-05, Best order: (3, 0, 5)-(1, 1), AIC: -7.1089635645211, Final model converged
[2024-06-02T05:23:04] Estimation window: 2003-10-17 - 2007-10-08, Best order: (5, 0, 4)-(1, 1), AIC: -7.09066846832395, Final model converged
[2024-06-02T05:23:25] Estimation window: 2003-10-20 - 2007-10-09, Best order: (0, 0, 4)-(1, 1), AIC: -7.09878087367868, Final model converged
[2024-06-02T05:23:47] Estimation window: 2003-10-21 - 2007-10-10, Best order: (4, 0, 4)-(1, 1), AIC: -7.0924188702982, Final model converged
[2024-06-02T05:24:10] Estimation window: 2003-10-22 - 2007-10-11, Best order: (5, 0, 5)-(1, 1), AIC: -7.11168405263685, Final model converged
[2024-06-02T05:24:37] Estimation window: 2003-10-23 - 2007-10-12, Best order: (5, 0, 4)-(1, 1), AIC: -7.13978708365552, Final model converged
[2024-06-02T05:25:00] Estimation window: 2003-10-24 - 2007-10-15, Best order: (5, 0, 4)-(1, 1), AIC: -7.11224357636035, Final model converged
[2024-06-02T05:25:25] Estimation window: 2003-10-27 - 2007-10-16, Best order: (5, 0, 4)-(1, 1), AIC: -7.11526702373111, Final model FAILED to converge
[2024-06-02T05:25:54] Estimation window: 2003-10-28 - 2007-10-17, Best order: (5, 0, 5)-(1, 1), AIC: -7.1085164130043, Final model FAILED to converge
[2024-06-02T05:26:18] Estimation window: 2003-10-29 - 2007-10-18, Best order: (5, 0, 4)-(1, 1), AIC: -7.1222844478883, Final model converged
[2024-06-02T05:26:53] Estimation window: 2003-10-30 - 2007-10-19, Best order: (1, 0, 5)-(1, 1), AIC: -7.08595987932972, Final model converged
[2024-06-02T05:27:22] Estimation window: 2003-10-31 - 2007-10-22, Best order: (5, 0, 4)-(1, 1), AIC: -7.09714968800634, Final model converged
[2024-06-02T05:27:51] Estimation window: 2003-11-03 - 2007-10-23, Best order: (5, 0, 5)-(1, 1), AIC: -7.09493040258568, Final model converged
[2024-06-02T05:28:14] Estimation window: 2003-11-04 - 2007-10-24, Best order: (4, 0, 5)-(1, 1), AIC: -7.10103766213433, Final model converged
[2024-06-02T05:28:36] Estimation window: 2003-11-05 - 2007-10-25, Best order: (3, 0, 2)-(1, 1), AIC: -7.10633062528532, Final model converged
[2024-06-02T05:28:59] Estimation window: 2003-11-06 - 2007-10-26, Best order: (5, 0, 5)-(1, 1), AIC: -7.11729000474531, Final model converged
[2024-06-02T05:29:22] Estimation window: 2003-11-07 - 2007-10-29, Best order: (5, 0, 5)-(1, 1), AIC: -7.11687503306038, Final model converged
[2024-06-02T05:29:44] Estimation window: 2003-11-10 - 2007-10-30, Best order: (5, 0, 4)-(1, 1), AIC: -7.07841524467487, Final model converged
[2024-06-02T05:30:06] Estimation window: 2003-11-11 - 2007-10-31, Best order: (4, 0, 5)-(1, 1), AIC: -7.07725594010177, Final model converged
[2024-06-02T05:30:34] Estimation window: 2003-11-12 - 2007-11-01, Best order: (5, 0, 5)-(1, 1), AIC: -7.09680753887318, Final model FAILED to converge
[2024-06-02T05:30:56] Estimation window: 2003-11-13 - 2007-11-02, Best order: (5, 0, 5)-(1, 1), AIC: -7.09898515372625, Final model converged
[2024-06-02T05:31:18] Estimation window: 2003-11-14 - 2007-11-05, Best order: (5, 0, 5)-(1, 1), AIC: -7.07698224141753, Final model converged
[2024-06-02T05:31:40] Estimation window: 2003-11-17 - 2007-11-06, Best order: (5, 0, 4)-(1, 1), AIC: -7.09620494820668, Final model converged
[2024-06-02T05:32:02] Estimation window: 2003-11-18 - 2007-11-07, Best order: (3, 0, 4)-(1, 1), AIC: -7.07256412724425, Final model FAILED to converge
[2024-06-02T05:32:24] Estimation window: 2003-11-19 - 2007-11-08, Best order: (3, 0, 5)-(1, 1), AIC: -7.07007488942498, Final model converged
[2024-06-02T05:32:51] Estimation window: 2003-11-20 - 2007-11-09, Best order: (5, 0, 2)-(1, 1), AIC: -7.05764107045243, Final model converged
[2024-06-02T05:33:17] Estimation window: 2003-11-21 - 2007-11-12, Best order: (3, 0, 2)-(1, 1), AIC: -7.07591371453755, Final model converged
[2024-06-02T05:33:42] Estimation window: 2003-11-24 - 2007-11-13, Best order: (2, 0, 3)-(1, 1), AIC: -7.07506975451515, Final model converged
[2024-06-02T05:34:10] Estimation window: 2003-11-25 - 2007-11-14, Best order: (3, 0, 2)-(1, 1), AIC: -7.07530068271248, Final model converged
[2024-06-02T05:34:38] Estimation window: 2003-11-26 - 2007-11-15, Best order: (5, 0, 5)-(1, 1), AIC: -7.06765426840206, Final model converged
